code,name,level
10000000,REGION I (ILOCOS REGION),Reg
12800000,ILOCOS NORTE,Prov
12801000,ADAMS,Mun
12801001,Adams (Pob.),Bgy
12802000,BACARRA,Mun
12802001,Bani,Bgy
12802002,Buyon,Bgy
12802003,Cabaruan,Bgy
12802004,Cabulalaan,Bgy
12802005,Cabusligan,Bgy
12802006,Cadaratan,Bgy
12802007,Calioet-Libong,Bgy
12802008,Casilian,Bgy
12802009,Corocor,Bgy
12802011,Duripes,Bgy
12802012,Ganagan,Bgy
12802013,Libtong,Bgy
12802014,Macupit,Bgy
12802015,Nambaran,Bgy
12802016,Natba,Bgy
12802017,Paninaan,Bgy
12802018,Pasiocan,Bgy
12802019,Pasngal,Bgy
12802020,Pipias,Bgy
12802021,Pulangi,Bgy
12802022,Pungto,Bgy
12802024,San Agustin I (Pob.),Bgy
12802025,San Agustin II (Pob.),Bgy
12802027,San Andres I (Pob.),Bgy
12802028,San Andres II (Pob.),Bgy
12802030,San Gabriel I (Pob.),Bgy
12802031,San Gabriel II (Pob.),Bgy
12802033,San Pedro I (Pob.),Bgy
12802034,San Pedro II (Pob.),Bgy
12802036,San Roque I (Pob.),Bgy
12802037,San Roque II (Pob.),Bgy
12802039,San Simon I (Pob.),Bgy
12802040,San Simon II (Pob.),Bgy
12802041,San Vicente (Pob.),Bgy
12802042,Sangil,Bgy
12802044,Santa Filomena I (Pob.),Bgy
12802045,Santa Filomena II (Pob.),Bgy
12802046,Santa Rita (Pob.),Bgy
12802047,Santo Cristo I (Pob.),Bgy
12802048,Santo Cristo II (Pob.),Bgy
12802050,Tambidao,Bgy
12802051,Teppang,Bgy
12802052,Tubburan,Bgy
12803000,BADOC,Mun
12803001,Alay-Nangbabaan (Alay 15-B),Bgy
12803002,Alogoog,Bgy
12803003,Ar-arusip,Bgy
12803004,Aring,Bgy
12803005,Balbaldez,Bgy
12803006,Bato,Bgy
12803007,Camanga,Bgy
12803008,Canaan (Pob.),Bgy
12803009,Caraitan,Bgy
12803011,Gabut Norte,Bgy
12803012,Gabut Sur,Bgy
12803013,Garreta (Pob.),Bgy
12803016,Labut,Bgy
12803017,Lacuben,Bgy
12803018,Lubigan,Bgy
12803020,Mabusag Norte,Bgy
12803021,Mabusag Sur,Bgy
12803022,Madupayas,Bgy
12803023,Morong,Bgy
12803025,Nagrebcan,Bgy
12803026,Napu,Bgy
12803027,La Virgen Milagrosa (Paguetpet),Bgy
12803028,Pagsanahan Norte,Bgy
12803029,Pagsanahan Sur,Bgy
12803030,Paltit,Bgy
12803031,Parang,Bgy
12803032,Pasuc,Bgy
12803034,Santa Cruz Norte,Bgy
12803035,Santa Cruz Sur,Bgy
12803036,Saud,Bgy
12803037,Turod,Bgy
12804000,BANGUI,Mun
12804001,Abaca,Bgy
12804002,Bacsil,Bgy
12804003,Banban,Bgy
12804004,Baruyen,Bgy
12804005,Dadaor,Bgy
12804006,Lanao,Bgy
12804007,Malasin,Bgy
12804008,Manayon,Bgy
12804009,Masikil,Bgy
12804010,Nagbalagan,Bgy
12804011,Payac,Bgy
12804012,San Lorenzo (Pob.),Bgy
12804014,Taguiporo,Bgy
12804015,Utol,Bgy
12805000,CITY OF BATAC,City
